Company/Brand,Sector,Stage,Amount($),Location,What it does,Amount($),Year of Funding
Eduvanz,Finance,Angel,500000,"Mumbai, Maharashtra, India","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",500000.0,2018
Rupeek,Financial Services,Series A,6830000,"Bangalore, Karnataka, India",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,6830000.0,2018
Backpacker Panda Holidays Private Limited,Tourism,Series A,1400000,"Pune, Maharashtra, India",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,1400000.0,2018
Shape (School Health and Physical Education),Education,Seed,200000,"Pune, Maharashtra, India",Physical education start up,200000.0,2018
Placio,Hospitality,Seed,2000000,"Noida, Uttar Pradesh, India",Placio is a student housing and a complete broker-free platform.,2000000.0,2018
Aviom India Housing Finance,Finance,Series A,21900000.0,"New Delhi, Delhi, India",Delhi based housing finance company.,1000000.0,2018
GenRobotic,Market Research,Seed,,"Trivandrum, Kerala, India",A Robotic Company.,1000000.0,2018
HeyHolidays,Tourism,Seed,1000000,"Bangalore, Karnataka, India","HeyHolidays, a global player in online vacation rentals.",1000000.0,2018
Pratilipi,Digital Media,Series A,4300000,"Bengaluru, Karnataka, India",Amazon's Kindle Direct Publishing for Indian Languages,4300000.0,2018
SectorQube,Consumer Electronics,Seed,,"Ernakulam, Kerala, India",SectorQube develops smart kitchen devices that make food automatically.,1000000.0,2018
Food Memories,Food and Beverage,Seed,,"Ahmedabad, Gujarat, India",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,1000000.0,2018
ZAMROO,Internet,Seed,,"India, Asia",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,1000000.0,2018
Silversparro Technologies Pvt. Ltd,Analytics,Seed,300000,"Gurgaon, Haryana, India",Silversparro is a deep learning technology solution provider.,300000.0,2018
Creator’s Gurukul,Facilities Support Services,Angel,,"Gurgaon, Haryana, India",A coworking space provider.,1000000.0,2018
Emflux Motors,Automotive,Seed,364846,"Bengaluru, Karnataka, India",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,364846.0,2018
Tricog Health Services Pvt Ltd,Health Care,Series A,4000000,"Bangalore, Karnataka, India",Predictive Healthcare Analytics Company,4000000.0,2018
Scapic,Cloud Computing,Seed,500000,"Bangalore, Karnataka, India",Virtual/Augmented Reality Start Up .,500000.0,2018
6Degree,Fashion,Seed,400000,"Mumbai, Maharashtra, India",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,400000.0,2018
Chrysalis (EZ Vidya),Education,Seed,,"Chennai, Tamil Nadu, India",Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,1000000.0,2018
Ekincare,Medical,Series A,1500000,"Hyderabad, Andhra Pradesh, India",EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,1500000.0,2018
Streo,Music Streaming,Seed,,"Gurgaon, Haryana, India","Live stream music from nightclubs, bars & festivals!",1000000.0,2018
Groww,Finance,Seed,120000,"Kormangala, Karnataka, India",Groww offers a new way of investing money.,120000.0,2018
Cell Propulsion,,Seed,1021999.9999999999,"Bangalore, Karnataka, India",Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,1000000.0,2018
Chezuba,Internet,Angel,204400.0,"Hyderabad, Andhra Pradesh, India",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,1000000.0,2018
Ontrack Technologies Pvt. Ltd,Retail,Seed,,"Bangalore, Karnataka, India",Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,1000000.0,2018
Wealthtrust,Finance,Seed,500000,"Mumbai, Maharashtra, India",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,500000.0,2018
Faclon Labs,Cloud Computing,Seed,,"Mumbai, Maharashtra, India",Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,1000000.0,2018
Awign Enterprises,Business Development,Seed,7300000.0,"Bangalore, Karnataka, India",Operations and manpower outsourcing startup,1000000.0,2018
CollPoll,Education,Seed,,"Bangalore, Karnataka, India",World-class Enterprise System for Education.,1000000.0,2018
Zyla Health,Health Care,Seed,,"New Delhi, Delhi, India",Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,1000000.0,2018
Hubhopper,Internet,Series A,500000,"Delhi, Delhi, India",Get your daily dose of interest as summaries from news and magazine stories .,500000.0,2018
Rubix108 Technologies,Information Technology,Seed,1000000,"Pune, Maharashtra, India",Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,1000000.0,2018
Workflexi,Human Resources,Seed,1460000.0,"Bangalore, Karnataka, India","Be Smart, Work on Contract,Be Smart, Hire on Contract",1000000.0,2018
Streak,Financial Services,Seed,3285000.0,"Bangalore, Karnataka, India",Algorithmic trading platform.,1000000.0,2018
Kuants,Financial Services,Seed,730000.0,"Gurgaon, Haryana, India",Algorithmic trading platform.,1000000.0,2018
NiYO Solutions,Finance,Series A,13200000,"Bangalore, Karnataka, India",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,13200000.0,2018
Hippo Video,Customer Service,Seed,,"Chennai, Tamil Nadu, India",A video recording and sharing software.,1000000.0,2018
Satvacart,E-Commerce,Seed,,"Gurgaon, Haryana, India",Satvacart is a Gurgaon’s largest online supermarket,1000000.0,2018
Daaki,Health Care,Angel,,"Bangalore, Karnataka, India",Sports Nutrition startup,1000000.0,2018
Simulanis,Training,Seed,500000,"New Delhi, Delhi, India",A Delhi-based Augmented Reality and Virtual Reality technology development company.,500000.0,2018
MY CHIRAAG CAB,Travel,Seed,1000000,"Jaipur, Rajasthan, India",MY CHIRAAG CAB SERVICES PVT LTD,1000000.0,2018
WOTU,Food and Beverage,Seed,,"Bangalore, Karnataka, India",It operates a business-to-business e-commerce portal for food and beverages.,1000000.0,2018
Flathalt,,Angel,50000,"Gurgaon, Haryana, India",FInd your Customized Home here.,50000.0,2018
True Elements,Dietary Supplements,Seed,7300000.0,"Pune, Maharashtra, India",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,1000000.0,2018
Trendlyne Technologies,Financial Services,Seed,200000,"Bangalore, Karnataka, India",Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,200000.0,2018
Planys Technologies,Manufacturing,Series A,20469200.0,"Chennai, Tamil Nadu, India",Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,1000000.0,2018
HealthPlix,Fitness,Series A,3000000,"Bangalore, Karnataka, India",HealthPlix is a healthtech startup,3000000.0,2018
dishq,,Seed,400000,"Bengaluru, Karnataka, India",dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,400000.0,2018
Entropik Technology,Artificial Intelligence,Seed,1100000,"Bengaluru, Karnataka, India",The boundaries between Human and Machines are shrinking fast.,1100000.0,2018
myHQ,Collaboration,Series A,500000,"Delhi, Delhi, India",myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,500000.0,2018
Trell,,Seed,1250000,"Bangalore City, Karnataka, India",Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,1250000.0,2018
Kidovators (by GyanLab),Big Data,Seed,180000,"Bangalore, Karnataka, India",Building future human capital through 21st Century Skills programs for K-12,180000.0,2018
Log 9 Materials,Nanotechnology,Seed,4380000.0,"Uttar Pradesh, India, Asia",Log 9 Materials is a nano-materials manufacturing and RnD startup,1000000.0,2018
VTION,Analytics,Seed,2803200.0,"Gurgaon, Haryana, India",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,1000000.0,2018
HousingMan.com,,Seed,15037999.999999998,"Bengaluru, Karnataka, India","New Apartments, Flats for Sale in Bangalore",1000000.0,2018
Steradian Semiconductors,,Seed,,"Bangalore, Karnataka, India",It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,1000000.0,2018
RupeeCircle,Financial Services,Seed,5840000.0,"Mumbai, Maharashtra, India",RupeeCircle is a new age finance company.,1000000.0,2018
Wooden Street,E-Commerce,Series A,1000000,"Jaipur, Rajasthan, India",Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,1000000.0,2018
The Ken,Digital Media,Series A,1500000,"Bengaluru, Karnataka, India",The Ken is India’s first subscriptions-only business news site,1500000.0,2018
SaffronStays,,Seed,2000000,"Mumbai, Maharashtra, India",SaffronStays connects travellers to India's Incredible hosts.,2000000.0,2018
Vebbler,File Sharing,Seed,,"Bengaluru, Karnataka, India",A personal network for close people,1000000.0,2018
Foyr,Home Decor,Series A,4200000,"Pune, Maharashtra, India","Foyr.com is India's first online, automated interior designer",4200000.0,2018
MEngage,Health Care,Seed,175000,"Jaipur, Rajasthan, India",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,175000.0,2018
Inner Being Wellness,,Angel,5110000.0,"Hyderabad, Andhra Pradesh, India","Inner Being Wellness manufactures beauty, wellness, and nutrition products.",1000000.0,2018
Kobster,E-Commerce,Seed,,"Chennai, Tamil Nadu, India",Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,1000000.0,2018
Wishberry,Crowdfunding,Series A,14600000.0,"Mumbai, Maharashtra, India",Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,1000000.0,2018
McXtra,Finance,Seed,1300000,"Andheri, Maharashtra, India",McXtra is a digital insurance broking startup.,1300000.0,2018
Magic Crate,Children,Seed,,"Bangalore, Karnataka, India","Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",1000000.0,2018
SmartVizX,Software,Seed,1450000,"Noida, Uttar Pradesh, India",It is a Virtual Reality Solutions StartUp,1450000.0,2018
MySEODoc,,Seed,,"Delhi, Delhi, India","SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",1000000.0,2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,,Seed,29199.999999999996,"Pune, Maharashtra, India",Digital Marketing Agency,1000000.0,2018
Scale Labs,,Seed,1000000,"Delhi, Delhi, India",Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,1000000.0,2018
HungerBox,B2B,Series A,4500000,"Bengaluru, Karnataka, India",HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,4500000.0,2018
Biryani By Kilo,Catering,Seed,1000000,"Noida, Uttar Pradesh, India",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,1000000.0,2018
Wholesome Habits (EAT Anytime),Food and Beverage,Seed,500000,"Mumbai, Maharashtra, India",Wholesome Habits (EAT Anytime) is a healthy snacks Company.,500000.0,2018
GoBumpr,Automotive,Seed,600000,"Mylapore, Tamil Nadu, India",Car Service and Bike Service Mobile App,600000.0,2018
Fixpocket,Computer,Seed,250000,"Ahmedabad, Gujarat, India",Fixpocket is a internet-based startup.,250000.0,2018
edureka!,Android,Series A,2000000,"Bangalore, Karnataka, India","Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2000000.0,2018
Hashtag Loyalty Private Limited,Analytics,Seed,,"Mumbai, Maharashtra, India",Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,1000000.0,2018
Wow Express,Delivery,Series A,4500000,"Mumbai, Maharashtra, India","WOW, as customers react to his studiously taught, trained, polite and courteous nature.",4500000.0,2018
ZunRoof,Environmental Consulting,Angel,2423600.0,"Gurgaon, Haryana, India",ZunRoof is a rooftop focused solar startup.,1000000.0,2018
Eggoz,Food and Beverage,Angel,1752000.0,"Indore, Madhya Pradesh, India",Eggoz is a full-stack layer poultry business operator & service provider .,1000000.0,2018
Sqrrl Fintech,Big Data,Seed,1000000,"Gurgaon, Haryana, India",Personal Finance,1000000.0,2018
GalaxyCard,Finance,Seed,,"Noida, Uttar Pradesh, India",GalaxyCard is a mobile based Instant credit card.,1000000.0,2018
IndiQube,Commercial Real Estate,Series A,15000000,"Bengaluru, Karnataka, India",IndiQube is a provider of co-working spaces based in Bengaluru.,15000000.0,2018
EGK Foods,Food and Beverage,Seed,2920000.0,"Mumbai, Maharashtra, India",A food processing enterprise registered with StartUp India .,1000000.0,2018
NirogStreet,Apps,Seed,300000,"Gurgaon, Haryana, India",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,300000.0,2018
Pixr8,Digital Media,Seed,50000,"Ghaziabad, Uttar Pradesh, India",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,50000.0,2018
Nivesh.com,Finance,Seed,4380000.0,"Noida, Uttar Pradesh, India",Nivesh.com is a mass market mutual funds investment platform.,1000000.0,2018
Theranosis Life Sciences,Biotechnology,Seed,,"Hyderabad, Andhra Pradesh, India",A fully functioning cell culture facility and molecular biology setup.,1000000.0,2018
Poshmiles Online Solutions Private Limited,Travel,Seed,,"Bengaluru, Karnataka, India",Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,1000000.0,2018
Reculta,Education,Seed,,"Noida, Uttar Pradesh, India",A campus recruitment solution provider.,1000000.0,2018
Orbo.ai,Internet,Seed,,"Mumbai, Maharashtra, India",Orbo is a computer vision and deep facial technology company.,1000000.0,2018
Inntot Technologies,Consumer Electronics,Seed,,"Kochi, Kerala, India","Inntot Technologies, is a technology driven company.",1000000.0,2018
Zoctr Health,Apps,Seed,,"Powai, Assam, India",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,1000000.0,2018
Hey Deedee,Delivery Service,Seed,4818000.0,"Mumbai, Maharashtra, India",Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,1000000.0,2018
DigiConnectt Technologys,Information Services,Seed,125000,"Bengaluru, Karnataka, India",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,125000.0,2018
Locus.sh,Big Data,Series A,4000000,"Bangalore, Karnataka, India",Locus is an intelligent logistics automation platform.,4000000.0,2018
Sports Flashes Pvt. Ltd,Basketball,Seed,1000000,"New Delhi, Delhi, India","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",1000000.0,2018
Inc42,Media and Entertainment,Seed,,"New Delhi, Delhi, India",Inc42 is one of the leading tech media publications of India.,1000000.0,2018
Picxy,Internet,Seed,130000,"Guntur, Andhra Pradesh, India","A stock photo startup based in Amravati, Andhra Pradesh.",130000.0,2018
Huddle,Consulting,Seed,300000,"Haryana, Haryana, India",A coworking incubator Company.,300000.0,2018
Benepik,Human Resources,Seed,,"Gurgaon, Haryana, India",HR Technology start-up.,1000000.0,2018
Cash Suvidha,Finance,Seed,1000000,"New Delhi, Delhi, India",Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,1000000.0,2018
Smartcoin,Big Data,Seed,2000000,"Bangalore, Karnataka, India",Providing financial access to the millions of mobile users in India using alternative credit assessment,2000000.0,2018
Carmel Organics,Agriculture,Series A,,"Indore, Madhya Pradesh, India","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",1000000.0,2018
Roadcast,,Angel,250000,"New Delhi, Delhi, India",Transforming the way businesses deliver. Work-force & fleet mobility tools.,250000.0,2018
Printline Media(ThePrint),Digital Media,Seed,5095400.0,"New Delhi, Delhi, India",A digital news platform.,1000000.0,2018
Creditas Solutions,Financial Services,Seed,,"Gurgaon, Haryana, India",Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,1000000.0,2018
UrbanPiper,Software,Seed,,"Bengaluru, Karnataka, India",UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,1000000.0,2018
Doxper,Health Care,Seed,10512000.0,"Mumbai, Maharashtra, India",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,1000000.0,2018
i2ifunding,Crowdfunding,Angel,7300000.0,"Noida, Uttar Pradesh, India",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,1000000.0,2018
ShakeDeal,B2B,Seed,,"Bangalore, Karnataka, India",Home of B2B Commerce,1000000.0,2018
HelloVerify,Fraud Detection,Seed,,"Noida, Uttar Pradesh, India",HelloVerify is an online background check platform.,1000000.0,2018
Fasal,Agriculture,Seed,120000,"Bengaluru, Karnataka, India",Climate Smart Precision Agriculture Platform,120000.0,2018
CoinGeto,Cryptocurrency,Seed,17520000.0,"Delhi, Delhi, India",CoinGeto is one of India’s most advanced digital assets exchange.,1000000.0,2018
Avail Finance,Finance,Series A,17200000,"Bangalore, Karnataka, India",Avail is a mobile-first platform aiming to financially include the urban mass of India.,17200000.0,2018
Tripeur,Information Technology,Seed,600000,"Bengaluru, Karnataka, India",Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,600000.0,2018
Wedeterna,Wedding,Angel,,"Bangalore, Karnataka, India","Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",1000000.0,2018
Stumagz,Digital Media,Seed,,"Hyderabad, Andhra Pradesh, India",Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,1000000.0,2018
Doubtnut,E-Learning,Seed,5110000.0,"Gurgaon, Haryana, India",Gurgaon based E-learning platform.,1000000.0,2018
MCaffeine,Consumer Goods,Seed,4672000.0,"Mumbai, Maharashtra, India",MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,1000000.0,2018
TrustCheckr,Information Technology,Angel,100000,"Bengaluru, Karnataka, India",A Bengaluru-based fraud analytics solution provider .,100000.0,2018
HealthAssure,Fitness,Seed,1000000,"Mumbai, Maharashtra, India",HealthAssure provides access to Discounted & High Quality primary care medical network.,1000000.0,2018
Picture TIme,Digital Entertainment,Seed,36500000.0,"New Delhi, Delhi, India",Operator of low-cost mobile cinema theatres in rural areas.,1000000.0,2018
1Crowd,Crowdsourcing,Angel,3500000,"Mumbai, Maharashtra, India",Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,3500000.0,2018
Aarav Unmanned Systems,Delivery,Seed,,"Bangalore, Karnataka, India",Professional Drones for Enterprise Applications,1000000.0,2018
Wellthy Therapeutics Pvt Ltd,Health Care,Seed,19710000.0,"Mumbai, Maharashtra, India","Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",1000000.0,2018
Nua,Consumer Goods,Seed,,"Mumbai, Maharashtra, India",Nua is an e-commerce and feminine care brand platform focused on creating women care products.,1000000.0,2018
Kuvera.in,Financial Services,Angel,250000,"Bangalore, Karnataka, India",An online platform for mutual fund investments.,250000.0,2018
Livehealth,Health Care,Seed,1100000,"Pune, Maharashtra, India",Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,1100000.0,2018
Gramophone,Farming,Seed,1000000,"Indore, Madhya Pradesh, India",An agricultural inputs startup Company.,1000000.0,2018
Ora,Business Travel,Seed,,"Kolkata, West Bengal, India",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,1000000.0,2018
Buddy4Study.com,Career Planning,Series A,3000000,"Noida, Uttar Pradesh, India",Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,3000000.0,2018
Predible Health,Medical Device,Seed,,"Bangalore, Karnataka, India",Healthcare devices for cancer detection,1000000.0,2018
Syncremedies Healthcare Pvt Ltd,Alternative Medicine,Seed,,"Bangalore, Karnataka, India","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",1000000.0,2018
Blueleaf Cyberspace Systems,Internet,Seed,,"Bangalore, Karnataka, India",Bluleaf Cyberspace is Cloud Based Software Company.,1000000.0,2018
Toffee,,Seed,1500000,"Gurgaon, Haryana, India","Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",1500000.0,2018
ORO Wealth,,Series A,1600000,"Mumbai, Maharashtra, India",Online wealth management platform,1600000.0,2018
HealWell24,Dental,Seed,200000,"Mumbai, Maharashtra, India","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",200000.0,2018
Acko General Insurance,Financial Services,Series A,12000000,"Mumbai, Maharashtra, India",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,12000000.0,2018
arzooo.com,Consumer Electronics,Seed,2190000.0,"Bangalore, Karnataka, India",E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,1000000.0,2018
Bonphul Air Products,CleanTech,Angel,2920000.0,"Delhi, Delhi, India",A clean tech product Company,1000000.0,2018
DheeYantra Research Labs,Artificial Intelligence,Seed,,"Bangalore, Karnataka, India","DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",1000000.0,2018
Edyoo,Education,Seed,1000000,"Bengaluru, Karnataka, India","Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",1000000.0,2018
Chtrbox,Advertising,Angel,1460000.0,"Mumbai, Maharashtra, India",Chtrbox connects social media influencers with brands .,1000000.0,2018
Aashiyaan Housing and Development Finance,Financial Services,Seed,19710000.0,"Kolkata, West Bengal, India",Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,1000000.0,2018
BetterPlace Safety Solutions Pvt. Ltd.,Human Resources,Series A,3000000,"Bangalore City, Karnataka, India","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",3000000.0,2018
Cashkumar,Consumer Lending,Seed,7300000.0,"Bengaluru, Karnataka, India",A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,1000000.0,2018
Rocketium,Marketing,Seed,2920000.0,"Bangalore, Karnataka, India",Easy video creation for social media.,1000000.0,2018
FreightBazaar,Transportation,Seed,,"Hyderabad, Andhra Pradesh, India",FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,1000000.0,2018
OPEN,Banking,Seed,,"Bangalore, Karnataka, India",Open up to a new world of Banking,1000000.0,2018
mfine,Health Care,Series A,4200000,"Bengaluru, Karnataka, India",Hospital & Health Care Start up,4200000.0,2018
Earth Food,Food and Beverage,Seed,9344000.0,"Pune, Maharashtra, India",Earth Food is a healthy Food Start Up.,1000000.0,2018
Charcoal Eats,Food Processing,Seed,7300000.0,"Mumbai, Maharashtra, India",Charcoal Eats aims to bring Dominos style standardisation.,1000000.0,2018
Wishfie,Apps,Seed,,"Bangalore, Karnataka, India",A platform for people to express their opinions in form of short videos around any topic.,1000000.0,2018
The Social Hook,Marketing,Seed,,"Bengaluru, Karnataka, India",Fast growing Influencer Marketing platform in India.,1000000.0,2018
FreightBro,Apps,Seed,,"Mumbai, Maharashtra, India",Software for the new-age freight,1000000.0,2018
Finwego,,Seed,,"Chennai, Tamil Nadu, India",Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,1000000.0,2018
Cricnwin,Digital Entertainment,Seed,,"Gurgaon, Haryana, India",Cricnwin is a Gurugram - based Fan Engagement Platform,1000000.0,2018
Wicked Ride Adventure Services Private Limited,Automotive,Venture - Series Unknown,10000000,"Bangalore, Karnataka, India",Peer-to-Peer motor vehicles sharing,10000000.0,2018
Career Anna,Commercial,Seed,5840000.0,"Bangalore, Karnataka, India",India's Go to Career Commerce Portal,1000000.0,2018
ERUDITUS Executive Education,Continuing Education,Series C,40000000,"Mumbai, Maharashtra, India","Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",40000000.0,2018
Gaia Smart Cities,Smart Cities,Seed,,"Mumbai, Maharashtra, India",Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,1000000.0,2018
Square Off,Internet of Things,Seed,1100000,"Mumbai, Maharashtra, India",Delivering Imagination,1100000.0,2018
UrbanClap,Apps,Series D,50000000,"Delhi, Delhi, India",UrbanClap is India's leading managed marketplace for home services.,50000000.0,2018
Hospals,Medical,Seed,1500000,"New Delhi, Delhi, India",Hospals is a medical tourism company.,1500000.0,2018
Kogta Financial India Limited,Financial Services,Series B,224840000.0,"Jaipur, Rajasthan, India",Kogta Financial (India) Ltd is a retail-focused non banking financial company .,1000000.0,2018
Perspectico,Career Planning,Seed,,"New Delhi, Delhi, India",An Education Management startup.,1000000.0,2018
The Souled Store,Fashion,Venture - Series Unknown,3000000,"Mumbai, Maharashtra, India","The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",3000000.0,2018
Hush - Speak Up. Make Work Better,Communities,Seed,6570000.0,"Bangalore, Karnataka, India",Enabling diversity of opinions in organizations,1000000.0,2018
Drivezy,Automotive,Debt Financing,100000000,"Bengaluru, Karnataka, India",Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,100000000.0,2018
Freyr Energy,Energy,Series A,1500000,"Hyderabad, Andhra Pradesh, India","Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",1500000.0,2018
NIRAMAI Health Analytix,Health Care,Seed,6000000,"Bangalore, Karnataka, India",NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,6000000.0,2018
CloudSek,Information Technology,Seed,20440000.0,"Bengaluru, Karnataka, India",Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,1000000.0,2018
Lendbox,Crowdfunding,Seed,8760000.0,"Delhi, Delhi, India",Lendbox is India's leading peer-to-peer lending online lending platform.,1000000.0,2018
Verloop,Customer Service,Series A,3000000,"Bangalore, Karnataka, India",Verloop is an automated customer support and engagement platform.,3000000.0,2018
Flickstree,Advertising,Seed,,"Mumbai, Maharashtra, India","Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",1000000.0,2018
Paymatrix,Credit Cards,Seed,100000,"Hyderabad, Andhra Pradesh, India",India's Leading Property Rent management platform,100000.0,2018
Idha Skin Clinic,Beauty,Seed,730000.0,"Bangalore City, Karnataka, India",Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,1000000.0,2018
InCred,Banking,Private Equity,41900000,"Mumbai, Maharashtra, India",InCred Finance is a mumbai-based non-banking financial company,41900000.0,2018
Vedantu,EdTech,Series B,11000000,"Bangalore, Karnataka, India",Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,11000000.0,2018
Sportido,Social Media,Seed,,"Noida, Uttar Pradesh, India",Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,1000000.0,2018
Stelis Biopharma,Biopharma,Series B,100000000,"Bangalore, Karnataka, India",Stelis Biopharma is a vertically integrated biopharmaceutical company,100000000.0,2018
Magicpin,E-Commerce,Series C,205860000.0,"Gurgaon, Haryana, India","Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",1000000.0,2018
Try & Buy,E-Commerce,Seed,,"New Delhi, Delhi, India",Try & Buy,1000000.0,2018
Mech Mocha,Digital Entertainment,Series B,3530000,"Bangalore, Karnataka, India",Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,3530000.0,2018
Aye Finance,Finance,Debt Financing,10512000.0,"Gurgaon, Haryana, India",Aye Finance provides financial services to micro and small businesses in Northern India.,1000000.0,2018
Aldopay,Mobile Payments,Seed,200000,"Chennai, Tamil Nadu, India",Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,200000.0,2018
Detect Technologies,Artificial Intelligence,Series A,3300000,"Chennai, Tamil Nadu, India",Completely automated remote control system.,3300000.0,2018
Signzy,Computer,Series A,35040000.0,"Bangalore, Karnataka, India",Signzy are creating 'building blocks for a Digital Trust system.,1000000.0,2018
CashRich,Apps,Seed,1000000,"Mumbai, Maharashtra, India",A Mumbai-based fin-tech startup,1000000.0,2018
